LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,SPREAD_CAPTURE_THRESHOLD,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.5,0.1,0.97,12024.56849430664,0.7152317880794702,151,108,43,0.31532074038768526,12290.839263416641,12224.56849430664,625,0.5551470588235294,0.4768211920529801,121,8,8,1000.1456953642385,0.004849698305727314,0,3002577,277.8376056933599,12302.4061,12024.56849430664,12.5071585
0.0008,0.5,0.1,0.975,12024.56849430664,0.7152317880794702,151,108,43,0.31532074038768526,12290.839263416641,12224.56849430664,625,0.5551470588235294,0.4768211920529801,121,8,8,1000.1456953642385,0.004849698305727314,0,3002577,277.8376056933599,12302.4061,12024.56849430664,12.67973975
0.0008,0.5,0.1,0.98,12024.56849430664,0.7152317880794702,151,108,43,0.31532074038768526,12290.839263416641,12224.56849430664,625,0.5551470588235294,0.4768211920529801,121,8,8,1000.1456953642385,0.004849698305727314,0,3002577,277.8376056933599,12302.4061,12024.56849430664,12.699180458
0.0008,0.5,0.1,0.985,11743.649159906641,0.7105263157894737,152,108,44,0.31532074038768526,12290.839263416641,11943.649159906641,629,0.5507246376811594,0.48026315789473684,124,9,9,1000.1447368421053,0.004798365141306894,0,3002577,281.0369400933599,12024.6861,11743.649159906641,12.84477
0.0008,0.5,0.125,0.965,13509.679363974083,0.7152317880794702,151,108,43,0.323334180478331,13775.950133084083,13709.679363974083,625,0.5551470588235294,0.5496688741721855,121,8,8,1000.1456953642385,0.0053155320092657665,0,3002577,318.57843602592,13828.257800000003,13509.679363974083,12.73412125
0.0008,0.5,0.125,0.97,13509.679363974083,0.7152317880794702,151,108,43,0.323334180478331,13775.950133084083,13709.679363974083,625,0.5551470588235294,0.5496688741721855,121,8,8,1000.1456953642385,0.0053155320092657665,0,3002577,318.57843602592,13828.257800000003,13509.679363974083,12.759451959
0.0008,0.5,0.125,0.975,13509.679363974083,0.7152317880794702,151,108,43,0.323334180478331,13775.950133084083,13709.679363974083,625,0.5551470588235294,0.5496688741721855,121,8,8,1000.1456953642385,0.0053155320092657665,0,3002577,318.57843602592,13828.257800000003,13509.679363974083,12.605113916
0.0008,0.5,0.125,0.98,13509.679363974083,0.7152317880794702,151,108,43,0.323334180478331,13775.950133084083,13709.679363974083,625,0.5551470588235294,0.5496688741721855,121,8,8,1000.1456953642385,0.0053155320092657665,0,3002577,318.57843602592,13828.257800000003,13509.679363974083,12.804871167
0.0008,0.5,0.125,0.985,13228.760029574083,0.7105263157894737,152,108,44,0.323334180478331,13775.950133084083,13428.760029574083,629,0.5507246376811594,0.5526315789473685,124,9,9,1000.1447368421053,0.005266514493288631,0,3002577,321.77777042592,13550.537800000004,13228.760029574083,12.660415042
0.0008,0.55,0.03,0.965,9336.77034693544,0.7741935483870968,279,216,63,0.1476534793599997,9665.93622557856,9536.77034693544,839,0.665871121718377,0.0967741935483871,140,1,1,1000.1254480286739,0.004751300728920706,0,3002577,211.92375306456003,9548.6941,9336.77034693544,13.069966917
0.0008,0.55,0.03,0.97,9336.77034693544,0.7741935483870968,279,216,63,0.1476534793599997,9665.93622557856,9536.77034693544,839,0.665871121718377,0.0967741935483871,140,1,1,1000.1254480286739,0.004751300728920706,0,3002577,211.92375306456003,9548.6941,9336.77034693544,12.772343
0.0008,0.55,0.03,0.975,9336.77034693544,0.7741935483870968,279,216,63,0.1476534793599997,9665.93622557856,9536.77034693544,839,0.665871121718377,0.0967741935483871,140,1,1,1000.1254480286739,0.004751300728920706,0,3002577,211.92375306456003,9548.6941,9336.77034693544,12.881723625
0.0008,0.55,0.03,0.98,9336.77034693544,0.7741935483870968,279,216,63,0.1476534793599997,9665.93622557856,9536.77034693544,839,0.665871121718377,0.0967741935483871,140,1,1,1000.1254480286739,0.004751300728920706,0,3002577,211.92375306456003,9548.6941,9336.77034693544,12.689310542
0.0008,0.55,0.03,0.985,9101.28849093544,0.7714285714285715,280,216,64,0.1476534793599997,9665.93622557856,9301.28849093544,843,0.6619385342789598,0.09642857142857143,143,2,2,1000.125,0.004692993906576322,0,3002577,214.60560906456004,9315.8941,9101.28849093544,12.518712
